VILCOMN,New_Colunm,modified
Port-Au-Prince,,0
Cit!-Soleil,Cité-Soleil,1
Delmas,,0
Tabarre,,0
Carrefour,,0
P!tion-ville,Pétion-Ville,1
Kenscoff,,0
Gressier,,0
L!og!ne,Léogane,1
Petit-Go!ve,Péitit-Goâve,1
Grand-Go!ve,Grand-Goâve,1
Croix-des-Bouquets,,0
Thomazeau,,0
Ganthier,,0
Cornillon,,0
Fonds-Verrettes,,0
Arcahaie,,0
Cabaret,,0
Anse-!-Galets,Anse-à-Galets,1
Pointe-!-Raquettes,Pointe-à-Raquettes,1
Jacmel,,0
Marigot,,0
Cayes-Jacmel,,0
La Vall!e,La Vallée,1
Bainet,,0
C!tes-de-Fer,Côtes-de-Fer,1
Belle-Anse,,0
Grand-Gosier,,0
Thiotte,,0
Anse-!-Pitres,Anse-à-Pitres,1
Cap-Ha!tien,Cap-à-Ha!tien,1
Quartier-Morin,,0
Limonade,,0
Acul-du-Nord,,0
Plaine-du-Nord,,0
Milot,,0
Grande-Rivi!re,Grande-Rivière,1
Bahon,,0
Saint-Rapha!l,Saint-Raphaël,1
Dondon,,0
Ranquitte,,0
Pignon,,0
La Victoire,,0
Borgne,,0
Port-Margot,,0
Limb!,Limbé,1
Bas-Limb!,Bas-Limbé,1
Plaisance,,0
Pilate,,0
Fort-Libert!,Fort-Liberté,1
Ferrier,,0
Perches,,0
Ouanaminthe,,0
Capotille,,0
Mont-Organis!,Mont-Organisé,1
Trou-du-Nord,,0
Sainte-Suzanne,,0
Terrier-Rouge,,0
Caracol,,0
Valli!res,Vallières,1
Carice,,0
Mombin-Crochu,,0
Gona!ves,Gonaïves,1
Ennery,,0
bLEst!re,L'Estère,1
Gros-Morne,,0
Terre-Neuve,,0
Anse-Rouge,,0
Saint-Marc,,0
Verrettes,,0
La Chapelle,,0
Dessalines,,0
bPetite-Rivi!re de lArtibonite,Petite Rivère de l'Artibonite,1
Grande Saline,,0
Desdunes,,0
Saint-Michel,,0
Marmelade,,0
Hinche,,0
Ma!ssade,Maïssade,1
Thomonde,,0
Cerca-Cavajal,,0
Mirebalais,,0
bSaut-dEau,,0
Boucan-Carr!,Boucan-Carrée,1
Lascahobas,,0
Bellad!re,Belladère,1
Savanette,,0
Cerca-La-Source,,0
Thomassique,,0
Les Cayes,,0
Torbeck,,0
Chantal,,0
Camp-Perrin,,0
Maniche,,0
!le-!-Vache,île-a-Vaches,1
Port-Salut,,0
Saint-Jean,,0
Arniquet,,0
Aquin,,0
Saint-Louis du Sud,,0
Cavaillon,,0
C!teaux,Côteaux,1
Port-!-Piment,Port-à-Piment,1
Roche-!-Bateau,Roche-à-Bateau,1
Chardonni!res,Chardonniè-res,1
Les Anglais,,0
Tiburon,,0
J!r!mie,Jérémie,1
Abricots,,0
Bonbon,,0
Moron,,0
Chambellan,,0
bAnse-dHainault,,0
Dame-Marie,,0
Les Irois,,0
Corail,,0
Roseaux,,0
Beaumont,,0
Pestel,,0
Port-de-Paix,,0
La Tortue,,0
Bassin-Bleu,,0
Chansolme,,0
bSt-Ls-du-Nord-Ouest,,0
Anse-!-Foleur,Anse-à-Foleur,1
M!le-Saint-Nicolas,Môle-St-Nicolas,1
Baie-de-Henne,,0
Bombardopolis,,0
Jean-Rabel,,0
Fonds-des-N!gres,Fonds-des-Nègres,1
Arnaud,,0
Grand-Boucan,,0
Paillant,,0
Mirago!ne,Miragoâne,1
Petite-Rivi!re de Nippes,Petite Rivère des Nippes,1
Anse-!-Veau,Anse-à-Veau,1
Barad!res,Baradères,1
Petit-Trou,,0
bLAsile,,0
Cap-Haitien,,0
Leogane,,0
Plaine du Nord,,0
Jeremie,,0
Cayes,,0
Petit Goave,,0
Cx Des Bouquets,,0
Anse A Veau,,0
St Marc,,0
Limbe,,0
Gros Morne,,0
Port Au Prince,,0
Mirbalais,,0
